name,energy,flux
Ta01,55.150000000000006,0.03662833333333333
Ta01,55.25,0.029292
Ta01,55.35000000000001,0.022620666666666667
Ta01,55.45,0.017152333333333332
Ta01,55.55,0.012453333333333334
Ta01,55.650000000000006,0.008687333333333333
Ta01,55.75,0.005872333333333334
Ta01,55.85000000000001,0.003909333333333333
Ta01,55.95,0.002575333333333333
Ta01,56.05,0.0015866666666666666
Ta01,56.150000000000006,0.0009233333333333333
Ta01,56.25,0.0005183333333333333
Ta01,56.35000000000001,0.00027633333333333335
Ta01,56.45,0.00016033333333333335
Ta01,56.55,8.066666666666667e-05
Ta01,56.650000000000006,4.233333333333333e-05
Ta01,56.75,2.8666666666666668e-05
Ta01,56.85000000000001,1.1e-05
Ta01,56.95,4.333333333333333e-06
Ta01,57.05,2.333333333333333e-06
