#ZVView-data-copy:  17-Feb-2026 09:50:40
#=======================================
#
#name:   29-CU-0(P,X)27-CO-58,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  174
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          50.1            0       0.0376        0.003  # 1992,S.J.Mills+          ## A0507015  #dY:8.0%   
            52            0       0.0336       0.0027  # 1992,S.J.Mills+          ## A0507015  #dY:8.0%   
          52.1          1.2        0.039       0.0038  # 2018,A.S.Voyles+         ## C2327011  #dY:9.7%   
          52.4         0.34       0.0296     0.000888  # 1982,A.Gruetter          ## D0505012  #dY:3.0%   
          52.4         0.34       0.0299     0.000897  # 1982,A.Gruetter          ## D0505012  #dY:3.0%   
          53.9            0       0.0309       0.0025  # 1992,S.J.Mills+          ## A0507015  #dY:8.1%   
          55.5         0.34        0.028      0.00084  # 1982,A.Gruetter          ## D0505012  #dY:3.0%   
          55.5         0.34       0.0265     0.000795  # 1982,A.Gruetter          ## D0505012  #dY:3.0%   
          55.8            0       0.0292       0.0023  # 1992,S.J.Mills+          ## A0507015  #dY:7.9%   
         56.74         1.13      0.03095      0.00191  # 2016,E.Garrido+          ## O2315023  #dY:6.2%   
         57.12         1.09      0.03047      0.00252  # 2016,E.Garrido+          ## O2315023  #dY:8.3%   
         57.55         1.07      0.03074        0.003  # 2016,E.Garrido+          ## O2315023  #dY:9.8%   
          57.6            0        0.029       0.0023  # 1992,S.J.Mills+          ## A0507015  #dY:7.9%   
          58.5         0.34       0.0275     0.000825  # 1982,A.Gruetter          ## D0505012  #dY:3.0%   
          58.6          1.4       0.0303       0.0036  # 2016,S.A.Graves+         ## C2243004  #dY:11.9%  
            59          1.2        0.037       0.0071  # 1987,V.N.Aleksandrov+    ## A0351002  #dY:19.2%  
          59.4            0       0.0301       0.0024  # 1992,S.J.Mills+          ## A0507015  #dY:8.0%   
          60.7         0.34       0.0287     0.000861  # 1982,A.Gruetter          ## D0505012  #dY:3.0%   
          61.1            0       0.0315       0.0025  # 1992,S.J.Mills+          ## A0507015  #dY:7.9%   
         61.58         0.98       0.0337       0.0028  # 2018,A.S.Voyles+         ## C2327011  #dY:8.3%   
          62.8            0       0.0322       0.0026  # 1992,S.J.Mills+          ## A0507015  #dY:8.1%   
            63            0     0.032367     0.000783  # 2003,H.Yashima+          ## E1829047  #dY:2.4%   
         63.49         0.92      0.03079      0.00134  # 2016,E.Garrido+          ## O2315023  #dY:4.4%   
         63.86         0.86      0.03105      0.00141  # 2016,E.Garrido+          ## O2315023  #dY:4.5%   
          64.5            0       0.0338       0.0027  # 1992,S.J.Mills+          ## A0507015  #dY:8.0%   
          65.1         0.34       0.0321     0.000963  # 1982,A.Gruetter          ## D0505012  #dY:3.0%   
          65.1         0.34       0.0331     0.000993  # 1982,A.Gruetter          ## D0505012  #dY:3.0%   
          65.8            0        0.037        0.003  # 1992,S.J.Mills+          ## A0507015  #dY:8.1%   
          67.6         0.34       0.0362     0.001086  # 1982,A.Gruetter          ## D0505012  #dY:3.0%   
          68.5            0       0.0396       0.0032  # 1992,S.J.Mills+          ## A0507015  #dY:8.1%   
          69.1          1.1       0.0364       0.0043  # 2016,S.A.Graves+         ## C2243004  #dY:11.8%  
          69.7         0.34       0.0392     0.001176  # 1982,A.Gruetter          ## D0505012  #dY:3.0%   
          69.7         0.34       0.0376     0.001128  # 1982,A.Gruetter          ## D0505012  #dY:3.0%   
         69.73         0.59       0.0394      0.00242  # 2016,E.Garrido+          ## O2315023  #dY:6.1%   
          69.8         0.34       0.0388     0.001164  # 1982,A.Gruetter          ## D0505012  #dY:3.0%   
         69.99         0.55      0.03992      0.00294  # 2016,E.Garrido+          ## O2315023  #dY:7.4%   
            70          0.9        0.045       0.0086  # 1987,V.N.Aleksandrov+    ## A0351002  #dY:19.1%  
         70.08         0.54       0.0395      0.00284  # 2016,E.Garrido+          ## O2315023  #dY:7.2%   
         70.17         0.85       0.0427       0.0034  # 2018,A.S.Voyles+         ## C2327011  #dY:8.0%   
          71.2            0       0.0416       0.0034  # 1992,S.J.Mills+          ## A0507015  #dY:8.2%   
          73.7            0       0.0461       0.0037  # 1992,S.J.Mills+          ## A0507015  #dY:8.0%   
            76            0     0.046606     0.001128  # 2003,H.Yashima+          ## E1829047  #dY:2.4%   
          76.2            0       0.0488       0.0039  # 1992,S.J.Mills+          ## A0507015  #dY:8.0%   
          78.6            0       0.0499        0.004  # 1992,S.J.Mills+          ## A0507015  #dY:8.0%   
          78.6          0.9       0.0457       0.0039  # 2016,S.A.Graves+         ## C2243004  #dY:8.5%   
            79          2.2        0.054       0.0098  # 1987,V.N.Aleksandrov+    ## A0351002  #dY:18.1%  
         79.95         0.64        0.055       0.0047  # 2018,A.S.Voyles+         ## C2327011  #dY:8.5%   
            80            0       0.0498      0.00249  # 1984,L.R.Greenwood+      ## C0537004  #dY:5.0%   
            81            0       0.0511       0.0041  # 1992,S.J.Mills+          ## A0507015  #dY:8.0%   
          83.3            0       0.0523       0.0042  # 1992,S.J.Mills+          ## A0507015  #dY:8.0%   
          85.6            0       0.0536       0.0043  # 1992,S.J.Mills+          ## A0507015  #dY:8.0%   
          87.9            0       0.0512       0.0041  # 1992,S.J.Mills+          ## A0507015  #dY:8.0%   
            88            0     0.044347     0.001073  # 2003,H.Yashima+          ## E1829047  #dY:2.4%   
            89          1.9        0.055         0.01  # 1987,V.N.Aleksandrov+    ## A0351002  #dY:18.2%  
          89.4          0.6       0.0517       0.0034  # 2016,S.A.Graves+         ## C2243004  #dY:6.6%   
         89.74         0.43       0.0577       0.0045  # 2018,A.S.Voyles+         ## C2327011  #dY:7.8%   
          90.1            0        0.052       0.0042  # 1992,S.J.Mills+          ## A0507015  #dY:8.1%   
          92.2            0       0.0516       0.0041  # 1992,S.J.Mills+          ## A0507015  #dY:7.9%   
          94.3            0       0.0516       0.0041  # 1992,S.J.Mills+          ## A0507015  #dY:7.9%   
          96.4            0       0.0509       0.0041  # 1992,S.J.Mills+          ## A0507015  #dY:8.1%   
            98          1.5        0.046       0.0087  # 1987,V.N.Aleksandrov+    ## A0351002  #dY:18.9%  
          99.7            0       0.0514       0.0042  # 1992,S.J.Mills+          ## A0507015  #dY:8.2%   
           100            0       0.0472      0.00236  # 1984,L.R.Greenwood+      ## C0537004  #dY:5.0%   
           100            0     0.050538     0.001476  # 2003,H.Yashima+          ## E1829047  #dY:2.9%   
         105.4            0       0.0504       0.0041  # 1992,S.J.Mills+          ## A0507015  #dY:8.1%   
         112.2            0       0.0504       0.0041  # 1992,S.J.Mills+          ## A0507015  #dY:8.1%   
         118.7            0       0.0501        0.004  # 1992,S.J.Mills+          ## A0507015  #dY:8.0%   
         122.6            0         0.05       0.0044  # 1992,S.J.Mills+          ## A0507015  #dY:8.8%   
         127.9            0       0.0502       0.0044  # 1992,S.J.Mills+          ## A0507015  #dY:8.8%   
           133            0       0.0503       0.0044  # 1992,S.J.Mills+          ## A0507015  #dY:8.7%   
         137.9            0       0.0497       0.0043  # 1992,S.J.Mills+          ## A0507015  #dY:8.7%   
           139            0     0.048268     0.001409  # 2003,H.Yashima+          ## E1829047  #dY:2.9%   
         142.7            0         0.05       0.0043  # 1992,S.J.Mills+          ## A0507015  #dY:8.6%   
         147.5            0       0.0489       0.0041  # 1992,S.J.Mills+          ## A0507015  #dY:8.4%   
           150            0       0.0426      0.00213  # 1984,L.R.Greenwood+      ## C0537004  #dY:5.0%   
         153.1            0       0.0489       0.0041  # 1992,S.J.Mills+          ## A0507015  #dY:8.4%   
         158.7            0       0.0474       0.0039  # 1992,S.J.Mills+          ## A0507015  #dY:8.2%   
         164.1            0       0.0481        0.004  # 1992,S.J.Mills+          ## A0507015  #dY:8.3%   
         169.4            0       0.0474       0.0039  # 1992,S.J.Mills+          ## A0507015  #dY:8.2%   
           173            0     0.044056     0.001286  # 2003,H.Yashima+          ## E1829047  #dY:2.9%   
         177.2            0       0.0457       0.0037  # 1992,S.J.Mills+          ## A0507015  #dY:8.1%   
         183.8            0       0.0453       0.0036  # 1992,S.J.Mills+          ## A0507015  #dY:7.9%   
         190.2            0        0.045       0.0036  # 1992,S.J.Mills+          ## A0507015  #dY:8.0%   
         196.6            0       0.0436       0.0035  # 1992,S.J.Mills+          ## A0507015  #dY:8.0%   
           200            0       0.0386      0.00193  # 1984,L.R.Greenwood+      ## C0537004  #dY:5.0%   
           202            0     0.042755     0.001248  # 2003,H.Yashima+          ## E1829047  #dY:2.9%   
         214.4            0        0.034       0.0039  # 1997,M.Fassbender+       ## O0722003  #dY:11.5%  
           250            0       0.0375     0.001875  # 1984,L.R.Greenwood+      ## C0537004  #dY:5.0%   
           250            0       0.0273      0.00257  # 2015,Y.Q.Ju+             ## S0207007  #dY:9.4%   
         254.1            0       0.0334       0.0038  # 1997,M.Fassbender+       ## O0722003  #dY:11.4%  
           300            0       0.0363     0.001815  # 1984,L.R.Greenwood+      ## C0537004  #dY:5.0%   
           350            0       0.0349     0.001745  # 1984,L.R.Greenwood+      ## C0537004  #dY:5.0%   
           400            0       0.0323     0.001615  # 1984,L.R.Greenwood+      ## C0537004  #dY:5.0%   
           450            0       0.0307     0.001535  # 1984,L.R.Greenwood+      ## C0537004  #dY:5.0%   
           590            0      0.02996      0.00261  # 1976,C.J.Orth+           ## T0131027  #dY:8.7%   
           600            0       0.0344       0.0014  # 1989,R.Michel+           ## O0078028  #dY:4.1%   
           660            0       0.0276       0.0018  # 1996,Yu.V.Aleksandrov+   ## A0580010  #dY:6.5%   
           800            0       0.0325        0.001  # 2024,K.Sugihara+         ## E2784043  #dY:3.1%   
          1000            0       0.0275       0.0013  # 1990,Yu.V.Aleksandrov+   ## A0501083  #dY:4.7%   
          3000            0       0.0236       0.0008  # 2024,K.Sugihara+         ## E2784043  #dY:3.4%   
          3650            0      0.01985            0  # 1990,P.Kozma+            ## A0477065             
          3900            0       0.0206       0.0002  # 1974,J.B.Cumming+        ## O0542041  #dY:1.0%   
          27.4            0       0.0001         3e-5  # 1967,I.R.Williams+       ## B0073009  #dY:30.0%  
          29.8            0       0.0064      0.00192  # 1967,I.R.Williams+       ## B0073009  #dY:30.0%  
          30.9            0       0.0001         3e-5  # 1967,I.R.Williams+       ## B0073009  #dY:30.0%  
          32.5            0        0.017       0.0051  # 1967,I.R.Williams+       ## B0073009  #dY:30.0%  
          33.5            0        0.028       0.0084  # 1967,I.R.Williams+       ## B0073009  #dY:30.0%  
          33.7            0        0.022       0.0066  # 1967,I.R.Williams+       ## B0073009  #dY:30.0%  
          34.8            0        0.041       0.0123  # 1967,I.R.Williams+       ## B0073009  #dY:30.0%  
          36.6            0        0.044       0.0132  # 1967,I.R.Williams+       ## B0073009  #dY:30.0%  
          36.6            0        0.047       0.0141  # 1967,I.R.Williams+       ## B0073009  #dY:30.0%  
            37            0         0.09        0.027  # 1967,I.R.Williams+       ## B0073009  #dY:30.0%  
          37.5            0        0.053       0.0159  # 1967,I.R.Williams+       ## B0073009  #dY:30.0%  
          38.7            0        0.062       0.0186  # 1967,I.R.Williams+       ## B0073009  #dY:30.0%  
          39.6            0        0.038       0.0114  # 1967,I.R.Williams+       ## B0073009  #dY:30.0%  
          45.9            0         0.05        0.015  # 1967,I.R.Williams+       ## B0073009  #dY:30.0%  
          53.1            0        0.033       0.0099  # 1967,I.R.Williams+       ## B0073009  #dY:30.0%  
          58.5            0        0.034       0.0102  # 1967,I.R.Williams+       ## B0073009  #dY:30.0%  
          58.7            0        0.023       0.0069  # 1967,I.R.Williams+       ## B0073009  #dY:30.0%  
          35.1          1.9       0.0074       0.0103  # 2016,S.A.Graves+         ## C2243005  #dY:139.2% 
            48          1.6        0.018        0.011  # 2016,S.A.Graves+         ## C2243005  #dY:61.1%  
          58.6          1.4        0.006       0.0058  # 2016,S.A.Graves+         ## C2243005  #dY:96.7%  
          69.1          1.1       0.0124       0.0061  # 2016,S.A.Graves+         ## C2243005  #dY:49.2%  
          78.6          0.9       0.0188       0.0065  # 2016,S.A.Graves+         ## C2243005  #dY:34.6%  
          89.4          0.6       0.0208       0.0052  # 2016,S.A.Graves+         ## C2243005  #dY:25.0%  
          22.4        0.878      1.12e-5      3.15e-6  # 1997,R.Michel+           ## O0276135  #dY:28.1%  
          22.5         3.43     0.000192      2.06e-5  # 1997,R.Michel+           ## O0276135  #dY:10.7%  
          24.1         1.29      1.45e-5      2.25e-6  # 1997,R.Michel+           ## O0276135  #dY:15.5%  
          24.2        0.832      3.49e-5      7.19e-6  # 1997,R.Michel+           ## O0276135  #dY:20.6%  
          24.6        0.837      5.31e-5      5.63e-6  # 1997,R.Michel+           ## O0276135  #dY:10.6%  
          25.3        0.829     0.000259      1.59e-5  # 1997,R.Michel+           ## O0276135  #dY:6.1%   
          25.6        0.834     0.000467      2.58e-5  # 1997,R.Michel+           ## O0276135  #dY:5.5%   
          25.8        0.829     0.000226      2.11e-5  # 1997,R.Michel+           ## O0276135  #dY:9.3%   
          25.9        0.822     0.000466      4.99e-5  # 1997,R.Michel+           ## O0276135  #dY:10.7%  
          26.7        0.802     0.000816      5.25e-5  # 1997,R.Michel+           ## O0276135  #dY:6.4%   
          26.8        0.803      0.00152      8.23e-5  # 1997,R.Michel+           ## O0276135  #dY:5.4%   
            27        0.821      0.00135     0.000105  # 1997,R.Michel+           ## O0276135  #dY:7.8%   
          27.2        0.801      0.00142      0.00011  # 1997,R.Michel+           ## O0276135  #dY:7.7%   
          27.3        0.793      0.00206     0.000115  # 1997,R.Michel+           ## O0276135  #dY:5.6%   
          27.4         1.21      0.00108      7.72e-5  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
          27.8        0.803      0.00398     0.000203  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          27.9          0.8      0.00466     0.000237  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          28.1        0.793      0.00428     0.000226  # 1997,R.Michel+           ## O0276135  #dY:5.3%   
          28.6        0.786      0.00526     0.000279  # 1997,R.Michel+           ## O0276135  #dY:5.3%   
          28.9          3.8        0.007       0.0016  # 2002,T.Ido+              ## D4114007  #dY:22.9%  
          29.2         0.78      0.00682     0.000512  # 1997,R.Michel+           ## O0276135  #dY:7.5%   
          30.1        0.763        0.014     0.000728  # 1997,R.Michel+           ## O0276135  #dY:5.2%   
          30.1         0.78       0.0154     0.000786  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          30.2        0.774       0.0157       0.0008  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          30.3         1.09       0.0107     0.000753  # 1997,R.Michel+           ## O0276135  #dY:7.0%   
          30.4        0.761       0.0145     0.000764  # 1997,R.Michel+           ## O0276135  #dY:5.3%   
          31.7        0.762       0.0237      0.00178  # 1997,R.Michel+           ## O0276135  #dY:7.5%   
          31.9         1.31       0.0139      0.00102  # 1997,R.Michel+           ## O0276135  #dY:7.3%   
          32.2         0.74       0.0268      0.00138  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          32.2        0.758       0.0293      0.00158  # 1997,R.Michel+           ## O0276135  #dY:5.4%   
          32.5        0.745       0.0317      0.00162  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          32.7        0.736       0.0321      0.00163  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          32.8        0.728        0.032      0.00166  # 1997,R.Michel+           ## O0276135  #dY:5.2%   
            33        0.742        0.032      0.00238  # 1997,R.Michel+           ## O0276135  #dY:7.4%   
          33.1         1.06       0.0288      0.00202  # 1997,R.Michel+           ## O0276135  #dY:7.0%   
          33.4        0.729       0.0364       0.0019  # 1997,R.Michel+           ## O0276135  #dY:5.2%   
          33.7        0.728       0.0362      0.00271  # 1997,R.Michel+           ## O0276135  #dY:7.5%   
          33.9        0.723       0.0382      0.00199  # 1997,R.Michel+           ## O0276135  #dY:5.2%   
          34.5          3.3       0.0399       0.0055  # 2002,T.Ido+              ## D4114007  #dY:13.8%  
          34.6        0.939       0.0379      0.00198  # 1997,R.Michel+           ## O0276135  #dY:5.2%   
          34.7        0.715       0.0439      0.00224  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          34.8        0.719       0.0457      0.00231  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
            35          1.3       0.0333      0.00236  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
          35.2         0.71       0.0466      0.00243  # 1997,R.Michel+           ## O0276135  #dY:5.2%   
          35.8          1.5       0.0419       0.0055  # 2002,T.Ido+              ## D4114007  #dY:13.1%  
          35.9        0.705       0.0493      0.00369  # 1997,R.Michel+           ## O0276135  #dY:7.5%   
          36.2        0.694       0.0502       0.0026  # 1997,R.Michel+           ## O0276135  #dY:5.2%   
          36.4        0.988       0.0466      0.00326  # 1997,R.Michel+           ## O0276135  #dY:7.0%   
          36.6        0.696       0.0516       0.0038  # 1997,R.Michel+           ## O0276135  #dY:7.4%   
          36.7        0.701       0.0543      0.00275  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          36.7        0.689       0.0526       0.0027  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          36.8         2.13       0.0527      0.00534  # 1997,R.Michel+           ## O0276135  #dY:10.1%  
          36.9        0.685        0.052      0.00286  # 1997,R.Michel+           ## O0276135  #dY:5.5%   
          37.2          1.4       0.0445       0.0058  # 2002,T.Ido+              ## D4114007  #dY:13.0%  
          37.4        0.676       0.0546      0.00284  # 1997,R.Michel+           ## O0276135  #dY:5.2%   
          37.4        0.934       0.0512      0.00263  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          37.5         1.27       0.0476      0.00337  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
          37.8        0.675       0.0553      0.00285  # 1997,R.Michel+           ## O0276135  #dY:5.2%   
          38.5        0.669       0.0574       0.0032  # 1997,R.Michel+           ## O0276135  #dY:5.6%   
          38.5         0.66       0.0574       0.0029  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          38.6        0.665       0.0568      0.00322  # 1997,R.Michel+           ## O0276135  #dY:5.7%   
          38.6        0.667       0.0598      0.00428  # 1997,R.Michel+           ## O0276135  #dY:7.2%   
          38.7        0.671       0.0567      0.00289  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          38.8        0.907       0.0567      0.00296  # 1997,R.Michel+           ## O0276135  #dY:5.2%   
          38.9         0.91        0.056      0.00392  # 1997,R.Michel+           ## O0276135  #dY:7.0%   
          38.9         1.27       0.0483      0.00344  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
          39.2        0.654        0.058      0.00432  # 1997,R.Michel+           ## O0276135  #dY:7.4%   
          39.3        0.653       0.0577      0.00297  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          39.4          2.9       0.0517        0.007  # 2002,T.Ido+              ## D4114007  #dY:13.5%  
          39.4        0.906       0.0558      0.00283  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          39.5          1.2       0.0492       0.0065  # 2002,T.Ido+              ## D4114007  #dY:13.2%  
          39.5         1.26        0.055      0.00389  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
          39.6        0.933       0.0596      0.00305  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          40.2        0.643        0.059      0.00336  # 1997,R.Michel+           ## O0276135  #dY:5.7%   
          40.3        0.647         0.06      0.00303  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          40.4        0.904       0.0564      0.00286  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          40.4        0.645         0.06      0.00439  # 1997,R.Michel+           ## O0276135  #dY:7.3%   
          40.5         1.25       0.0562      0.00397  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
          40.6        0.641       0.0588        0.003  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          40.7        0.634       0.0578      0.00299  # 1997,R.Michel+           ## O0276135  #dY:5.2%   
          40.9          1.1        0.049       0.0064  # 2002,T.Ido+              ## D4114007  #dY:13.1%  
          41.1        0.631       0.0582      0.00412  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
          41.2        0.854       0.0575      0.00403  # 1997,R.Michel+           ## O0276135  #dY:7.0%   
          41.6          0.9       0.0582        0.003  # 1997,R.Michel+           ## O0276135  #dY:5.2%   
          41.7        0.621       0.0579      0.00331  # 1997,R.Michel+           ## O0276135  #dY:5.7%   
          41.9         1.25       0.0582      0.00415  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
